Fund Holdings as of,"30 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"LRCX","LAM RESEARCH CORP","Tecnologia de informação","Equity","578 725 575,13","0,46","578 725 575,13","2 894 641,00","199,93","Estados Unidos","NASDAQ","USD"
"GS","GOLDMAN SACHS GROUP INC","Produtos financeiros","Equity","561 890 930,40","0,45","561 890 930,40","695 754,00","807,60","Estados Unidos","New York Stock Exchange Inc.","USD"
"WFC","WELLS FARGO","Produtos financeiros","Equity","550 545 792,00","0,44","550 545 792,00","7 168 565,00","76,80","Estados Unidos","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Cuidados de saúde","Equity","550 087 022,87","0,44","550 087 022,87","2 101 253,00","261,79","Estados Unidos","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","Tecnologia de informação","Equity","545 570 888,80","0,43","545 570 888,80","3 930 626,00","138,80","Estados Unidos","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materiais","Equity","540 399 523,26","0,43","540 399 523,26","1 082 401,00","499,26","Estados Unidos","NASDAQ","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Tecnologia de informação","Equity","514 048 151,50","0,41","514 048 151,50","2 166 694,00","237,25","Estados Unidos","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Bens Industriais","Equity","510 658 211,55","0,41","510 658 211,55","624 773,00","817,35","Estados Unidos","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumo discricionário","Equity","509 313 302,22","0,40","509 313 302,22","1 650 774,00","308,53","Estados Unidos","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Bens de primeira necessidade","Equity","496 728 447,74","0,39","496 728 447,74","3 167 507,00","156,82","Estados Unidos","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Comunicação","Equity","491 822 635,80","0,39","491 822 635,80","9 777 786,00","50,30","Estados Unidos","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Comunicação","Equity","467 016 657,50","0,37","467 016 657,50","16 227 125,00","28,78","Estados Unidos","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","Tecnologia de informação","Equity","448 295 195,67","0,36","448 295 195,67","10 883 593,00","41,19","Estados Unidos","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Serviços públicos","Equity","444 511 383,05","0,35","444 511 383,05","4 829 021,00","92,05","Estados Unidos","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Produtos financeiros","Equity","441 648 477,81","0,35","441 648 477,81","2 788 713,00","158,37","Estados Unidos","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Cuidados de saúde","Equity","435 798 394,00","0,35","435 798 394,00","1 248 706,00","349,00","Estados Unidos","NASDAQ","USD"
"C","CITIGROUP INC","Produtos financeiros","Equity","434 515 799,98","0,34","434 515 799,98","4 050 674,00","107,27","Estados Unidos","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","Tecnologia de informação","Equity","420 084 489,78","0,33","420 084 489,78","303 841,00","1 382,58","Estados Unidos","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Cuidados de saúde","Equity","418 237 321,85","0,33","418 237 321,85","871 237,00","480,05","Estados Unidos","New York Stock Exchange Inc.","USD"
"ABT","ABBOTT LABORATORIES","Cuidados de saúde","Equity","410 813 678,52","0,33","410 813 678,52","4 032 329,00","101,88","Estados Unidos","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","Tecnologia de informação","Equity","401 878 498,92","0,32","401 878 498,92","2 171 964,00","185,03","Estados Unidos","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Consumo discricionário","Equity","401 010 937,92","0,32","401 010 937,92","2 574 048,00","155,79","Estados Unidos","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Tecnologia de informação","Equity","392 170 821,90","0,31","392 170 821,90","2 103 695,00","186,42","Estados Unidos","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Cuidados de saúde","Equity","392 097 342,86","0,31","392 097 342,86","2 875 879,00","136,34","Estados Unidos","NASDAQ","USD"
"DIS","WALT DISNEY","Comunicação","Equity","387 316 591,20","0,31","387 316 591,20","4 106 410,00","94,32","Estados Unidos","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energia","Equity","377 395 905,68","0,30","377 395 905,68","2 839 912,00","132,89","Estados Unidos","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Cuidados de saúde","Equity","372 145 733,55","0,30","372 145 733,55","821 922,00","452,77","Estados Unidos","NASDAQ","USD"
"AXP","AMERICAN EXPRESS","Produtos financeiros","Equity","369 305 870,94","0,29","369 305 870,94","1 241 406,00","297,49","Estados Unidos","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Cuidados de saúde","Equity","365 988 105,74","0,29","365 988 105,74","13 179 262,00","27,77","Estados Unidos","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Produtos financeiros","Equity","360 325 714,32","0,29","360 325 714,32","3 871 972,00","93,06","Estados Unidos","New York Stock Exchange Inc.","USD"
"BA","BOEING","Bens Industriais","Equity","343 516 809,72","0,27","343 516 809,72","1 815 532,00","189,21","Estados Unidos","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","Tecnologia de informação","Equity","343 308 336,70","0,27","343 308 336,70","1 132 657,00","303,10","Estados Unidos","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","Tecnologia de informação","Equity","339 490 758,80","0,27","339 490 758,80","2 849 272,00","119,15","Estados Unidos","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Bens Industriais","Equity","333 517 120,24","0,26","333 517 120,24","4 770 664,00","69,91","Estados Unidos","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Bens Industriais","Equity","328 879 528,66","0,26","328 879 528,66","1 374 742,00","239,23","Estados Unidos","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Bens Industriais","Equity","328 865 569,68","0,26","328 865 569,68","1 471 566,00","223,48","Estados Unidos","NASDAQ","USD"
"DE","DEERE","Bens Industriais","Equity","324 091 476,50","0,26","324 091 476,50","583 423,00","555,50","Estados Unidos","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Imobiliário","Equity","315 876 657,60","0,25","315 876 657,60","1 617 392,00","195,30","Estados Unidos","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","Tecnologia de informação","Equity","314 281 341,51","0,25","314 281 341,51","2 473 293,00","127,07","Estados Unidos","NASDAQ","USD"
"BLK","BLACKROCK INC","Produtos financeiros","Equity","312 570 102,16","0,25","312 570 102,16","334 636,00","934,06","Estados Unidos","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Bens Industriais","Equity","309 162 571,74","0,25","309 162 571,74","899 958,00","343,53","Estados Unidos","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Consumo discricionário","Equity","307 755 049,93","0,24","307 755 049,93","74 743,00","4 117,51","Estados Unidos","NASDAQ","USD"
"LOW","LOWES COMPANIES INC","Consumo discricionário","Equity","302 922 658,10","0,24","302 922 658,10","1 302 445,00","232,58","Estados Unidos","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Produtos financeiros","Equity","296 201 598,08","0,24","296 201 598,08","709 312,00","417,59","Estados Unidos","New York Stock Exchange Inc.","USD"
"PANW","PALO ALTO NETWORKS INC","Tecnologia de informação","Equity","289 117 461,15","0,23","289 117 461,15","1 873 129,00","154,35","Estados Unidos","NASDAQ","USD"
"ACN","ACCENTURE PLC CLASS A","Tecnologia de informação","Equity","281 758 453,20","0,22","281 758 453,20","1 426 264,00","197,55","Estados Unidos","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Cuidados de saúde","Equity","281 718 456,36","0,22","281 718 456,36","4 716 532,00","59,73","Estados Unidos","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Bens Industriais","Equity","280 918 478,12","0,22","280 918 478,12","469 316,00","598,57","Estados Unidos","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Tecnologia de informação","Equity","278 481 830,34","0,22","278 481 830,34","2 398 018,00","116,13","Estados Unidos","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Imobiliário","Equity","277 806 920,38","0,22","277 806 920,38","2 157 221,00","128,78","Estados Unidos","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","Tecnologia de informação","Equity","276 746 659,56","0,22","276 746 659,56","645 052,00","429,03","Estados Unidos","NASDAQ","USD"
"CB","CHUBB","Produtos financeiros","Equity","274 306 814,55","0,22","274 306 814,55","843 113,00","325,35","Estados Unidos","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Produtos financeiros","Equity","273 599 794,23","0,22","273 599 794,23","1 358 557,00","201,39","Estados Unidos","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Cuidados de saúde","Equity","267 970 392,48","0,21","267 970 392,48","1 457 232,00","183,89","Estados Unidos","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materiais","Equity","260 885 659,76","0,21","260 885 659,76","2 529 923,00","103,12","Estados Unidos","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Bens de primeira necessidade","Equity","260 771 670,06","0,21","260 771 670,06","3 890 953,00","67,02","Estados Unidos","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Cuidados de saúde","Equity","260 652 974,04","0,21","260 652 974,04","588 169,00","443,16","Estados Unidos","NASDAQ","USD"
"SYK","STRYKER CORP","Cuidados de saúde","Equity","260 657 599,80","0,21","260 657 599,80","799 318,00","326,10","Estados Unidos","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Produtos financeiros","Equity","258 106 807,40","0,20","258 106 807,40","1 448 980,00","178,13","Estados Unidos","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Cuidados de saúde","Equity","254 741 170,86","0,20","254 741 170,86","2 971 089,00","85,74","Estados Unidos","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","Tecnologia de informação","Equity","254 515 300,56","0,20","254 515 300,56","2 424 648,00","104,97","Estados Unidos","New York Stock Exchange Inc.","USD"
"PH","PARKER-HANNIFIN CORP","Bens Industriais","Equity","252 067 325,04","0,20","252 067 325,04","292 598,00","861,48","Estados Unidos","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Produtos financeiros","Equity","248 577 203,82","0,20","248 577 203,82","835 329,00","297,58","Estados Unidos","NASDAQ","USD"
"SO","SOUTHERN","Serviços públicos","Equity","247 864 355,64","0,20","247 864 355,64","2 557 148,00","96,93","Estados Unidos","New York Stock Exchange Inc.","USD"
"MCK","MCKESSON CORP","Cuidados de saúde","Equity","244 223 424,42","0,19","244 223 424,42","283 918,00","860,19","Estados Unidos","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Comunicação","Equity","240 382 483,70","0,19","240 382 483,70","8 317 733,00","28,90","Estados Unidos","NASDAQ","USD"
"DUK","DUKE ENERGY CORP","Serviços públicos","Equity","237 982 320,86","0,19","237 982 320,86","1 806 866,00","131,71","Estados Unidos","New York Stock Exchange Inc.","USD"
"TMUS","T MOBILE US INC","Comunicação","Equity","234 966 237,14","0,19","234 966 237,14","1 098 281,00","213,94","Estados Unidos","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Tecnologia de informação","Equity","233 915 161,52","0,19","233 915 161,52","628 669,00","372,08","Estados Unidos","NASDAQ","USD"
"GLW","CORNING INC","Tecnologia de informação","Equity","232 953 039,45","0,18","232 953 039,45","1 812 159,00","128,55","Estados Unidos","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","Tecnologia de informação","Equity","229 437 847,43","0,18","229 437 847,43","951 511,00","241,13","Estados Unidos","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumo discricionário","Equity","228 962 740,16","0,18","228 962 740,16","2 640 253,00","86,72","Estados Unidos","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Tecnologia de informação","Equity","221 117 007,70","0,18","221 117 007,70","581 795,00","380,06","Estados Unidos","NASDAQ","USD"
"EQIX","EQUINIX REIT INC","Imobiliário","Equity","219 850 638,45","0,17","219 850 638,45","228 049,00","964,05","Estados Unidos","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Serviços públicos","Equity","216 072 702,95","0,17","216 072 702,95","723 595,00","298,61","Estados Unidos","NASDAQ","USD"
"BSX","BOSTON SCIENTIFIC CORP","Cuidados de saúde","Equity","216 067 826,59","0,17","216 067 826,59","3 433 463,00","62,93","Estados Unidos","New York Stock Exchange Inc.","USD"
"VRT","VERTIV HOLDINGS CLASS A","Bens Industriais","Equity","207 726 673,14","0,16","207 726 673,14","886 887,00","234,22","Estados Unidos","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","Bens Industriais","Equity","207 692 565,45","0,16","207 692 565,45","309 255,00","671,59","Estados Unidos","New York Stock Exchange Inc.","USD"
"TT","TRANE TECHNOLOGIES PLC","Bens Industriais","Equity","207 584 474,16","0,16","207 584 474,16","513 912,00","403,93","Estados Unidos","New York Stock Exchange Inc.","USD"
"HWM","HOWMET AEROSPACE INC","Bens Industriais","Equity","207 243 784,14","0,16","207 243 784,14","929 386,00","222,99","Estados Unidos","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Cuidados de saúde","Equity","206 768 511,60","0,16","206 768 511,60","2 947 940,00","70,14","Estados Unidos","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Produtos financeiros","Equity","206 594 403,54","0,16","206 594 403,54","1 316 391,00","156,94","Estados Unidos","New York Stock Exchange Inc.","USD"
"WMB","WILLIAMS INC","Energia","Equity","204 976 032,22","0,16","204 976 032,22","2 828 426,00","72,47","Estados Unidos","New York Stock Exchange Inc.","USD"
"GD","GENERAL DYNAMICS CORP","Bens Industriais","Equity","200 640 453,29","0,16","200 640 453,29","588 751,00","340,79","Estados Unidos","New York Stock Exchange Inc.","USD"
"WDC","WESTERN DIGITAL CORP","Tecnologia de informação","Equity","197 779 902,90","0,16","197 779 902,90","785 870,00","251,67","Estados Unidos","NASDAQ","USD"
"WM","WASTE MANAGEMENT INC","Bens Industriais","Equity","197 584 391,52","0,16","197 584 391,52","859 212,00","229,96","Estados Unidos","New York Stock Exchange Inc.","USD"
"MRSH","MARSH INC","Produtos financeiros","Equity","196 066 590,72","0,16","196 066 590,72","1 122 176,00","174,72","Estados Unidos","New York Stock Exchange Inc.","USD"
"SNDK","SANDISK CORP","Tecnologia de informação","Equity","195 710 270,00","0,16","195 710 270,00","341 852,00","572,50","Estados Unidos","NASDAQ","USD"
"BX","BLACKSTONE INC","Produtos financeiros","Equity","193 682 023,20","0,15","193 682 023,20","1 735 502,00","111,60","Estados Unidos","New York Stock Exchange Inc.","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Bens Industriais","Equity","191 775 629,97","0,15","191 775 629,97","933 351,00","205,47","Estados Unidos","NASDAQ","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Produtos financeiros","Equity","188 797 520,22","0,15","188 797 520,22","936 217,00","201,66","Estados Unidos","New York Stock Exchange Inc.","USD"
"EOG","EOG RESOURCES INC","Energia","Equity","188 551 277,59","0,15","188 551 277,59","1 257 931,00","149,89","Estados Unidos","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Imobiliário","Equity","184 793 410,28","0,15","184 793 410,28","1 084 723,00","170,36","Estados Unidos","New York Stock Exchange Inc.","USD"
"PWR","QUANTA SERVICES INC","Bens Industriais","Equity","184 393 233,44","0,15","184 393 233,44","345 448,00","533,78","Estados Unidos","New York Stock Exchange Inc.","USD"
"BK","BANK OF NEW YORK MELLON CORP","Produtos financeiros","Equity","183 747 920,98","0,15","183 747 920,98","1 595 311,00","115,18","Estados Unidos","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Tecnologia de informação","Equity","183 616 823,61","0,15","183 616 823,61","506 627,00","362,43","Estados Unidos","NASDAQ","USD"
"USB","US BANCORP","Produtos financeiros","Equity","183 388 005,12","0,15","183 388 005,12","3 604 324,00","50,88","Estados Unidos","New York Stock Exchange Inc.","USD"
"FCX","FREEPORT MCMORAN INC","Materiais","Equity","182 316 881,30","0,14","182 316 881,30","3 336 082,00","54,65","Estados Unidos","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumo discricionário","Equity","179 650 607,12","0,14","179 650 607,12","1 950 392,00","92,11","Estados Unidos","NASDAQ","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Bens Industriais","Equity","179 336 138,98","0,14","179 336 138,98","1 416 781,00","126,58","Estados Unidos","New York Stock Exchange Inc.","USD"
"SLB","SLB NV","Energia","Equity","178 790 858,38","0,14","178 790 858,38","3 469 646,00","51,53","Estados Unidos","New York Stock Exchange Inc.","USD"
"VLO","VALERO ENERGY CORP","Energia","Equity","176 953 153,23","0,14","176 953 153,23","707 049,00","250,27","Estados Unidos","New York Stock Exchange Inc.","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Cuidados de saúde","Equity","175 031 146,84","0,14","175 031 146,84","233 596,00","749,29","Estados Unidos","NASDAQ","USD"
"MMM","3M","Bens Industriais","Equity","173 997 394,76","0,14","173 997 394,76","1 220 863,00","142,52","Estados Unidos","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Bens de primeira necessidade","Equity","173 080 962,75","0,14","173 080 962,75","2 971 347,00","58,25","Estados Unidos","NASDAQ","USD"
"PSX","PHILLIPS","Energia","Equity","172 993 618,22","0,14","172 993 618,22","936 062,00","184,81","Estados Unidos","New York Stock Exchange Inc.","USD"
"CSX","CSX CORP","Bens Industriais","Equity","171 720 775,19","0,14","171 720 775,19","4 317 847,00","39,77","Estados Unidos","NASDAQ","USD"
"FDX","FEDEX CORP","Bens Industriais","Equity","171 276 099,84","0,14","171 276 099,84","501 159,00","341,76","Estados Unidos","New York Stock Exchange Inc.","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Tecnologia de informação","Equity","170 975 121,92","0,14","170 975 121,92","631 184,00","270,88","Estados Unidos","NASDAQ","USD"
"SNPS","SYNOPSYS INC","Tecnologia de informação","Equity","169 919 524,88","0,13","169 919 524,88","443 492,00","383,14","Estados Unidos","NASDAQ","USD"
"HCA","HCA HEALTHCARE INC","Cuidados de saúde","Equity","169 740 887,58","0,13","169 740 887,58","362 826,00","467,83","Estados Unidos","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materiais","Equity","168 870 978,90","0,13","168 870 978,90","534 571,00","315,90","Estados Unidos","New York Stock Exchange Inc.","USD"
"MPC","MARATHON PETROLEUM CORP","Energia","Equity","167 637 466,08","0,13","167 637 466,08","683 788,00","245,16","Estados Unidos","New York Stock Exchange Inc.","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Serviços públicos","Equity","164 394 978,00","0,13","164 394 978,00","1 253 775,00","131,12","Estados Unidos","NASDAQ","USD"
"CMI","CUMMINS INC","Bens Industriais","Equity","164 025 946,70","0,13","164 025 946,70","320 551,00","511,70","Estados Unidos","New York Stock Exchange Inc.","USD"
"MSI","MOTOROLA SOLUTIONS INC","Tecnologia de informação","Equity","163 877 118,30","0,13","163 877 118,30","383 985,00","426,78","Estados Unidos","New York Stock Exchange Inc.","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Bens Industriais","Equity","162 957 557,70","0,13","162 957 557,70","1 716 246,00","94,95","Estados Unidos","New York Stock Exchange Inc.","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumo discricionário","Equity","162 794 455,92","0,13","162 794 455,92","509 832,00","319,31","Estados Unidos","NASDAQ","USD"
"AON","AON PLC CLASS A","Produtos financeiros","Equity","161 421 415,32","0,13","161 421 415,32","498 122,00","324,06","Estados Unidos","New York Stock Exchange Inc.","USD"
"EMR","EMERSON ELECTRIC","Bens Industriais","Equity","160 899 348,60","0,13","160 899 348,60","1 304 942,00","123,30","Estados Unidos","New York Stock Exchange Inc.","USD"
"CL","COLGATE-PALMOLIVE","Bens de primeira necessidade","Equity","160 476 443,86","0,13","160 476 443,86","1 871 882,00","85,73","Estados Unidos","New York Stock Exchange Inc.","USD"
"CRH","CRH PUBLIC LIMITED PLC","Materiais","Equity","158 367 018,99","0,13","158 367 018,99","1 553 989,00","101,91","Estados Unidos","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Cuidados de saúde","Equity","157 615 649,92","0,13","157 615 649,92","610 724,00","258,08","Estados Unidos","New York Stock Exchange Inc.","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumo discricionário","Equity","157 246 916,51","0,12","157 246 916,51","531 473,00","295,87","Estados Unidos","New York Stock Exchange Inc.","USD"
"ROST","ROSS STORES INC","Consumo discricionário","Equity","156 532 994,85","0,12","156 532 994,85","749 715,00","208,79","Estados Unidos","NASDAQ","USD"
